,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,price_change_percentage_1y_in_currency
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,32797.0,613445605654,1,687370246260.0,34555888553,34877.0,32318.0,-1068.551935604126,-3.15532,-21029528977.496704,-3.31448,18741512.0,21000000.0,21000000.0,64805.0,-49.56718,2021-04-14T11:54:46.763Z,67.81,48098.39236,2013-07-06T00:00:00.000Z,2021-06-24T03:32:13.383Z,240.75472357312074
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1913.88,222390190706,2,,23908726300,2043.52,1888.62,-91.866953047667,-4.58018,-11284051663.66977,-4.82897,116416572.5615,,,4356.99,-56.2354,2021-05-12T14:41:48.623Z,0.432979,440295.54264,2015-10-20T00:00:00.000Z,2021-06-24T03:32:18.562Z,687.3491742247347
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,63022120901,3,,68324287457,1.01,0.9930249999999999,0.005322599999999999,0.5334500000000001,-40891509.4185791,-0.06484000000000001,62827351263.9729,62827351263.9729,,1.32,-24.18535,2018-07-24T00:00:00.000Z,0.572521,75.20756,2015-03-02T00:00:00.000Z,2021-06-24T03:05:22.478Z,0.33904933632827905
3,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,287.22,44366122128,4,48959671463.0,2475300335,308.03,282.46,0.138982,0.04841,1915602.0,0.00432,154533651.9,170533651.9,170533651.9,686.31,-58.36577,2021-05-10T07:24:17.097Z,0.0398177,717516.76117,2017-10-19T00:00:00.000Z,2021-06-24T03:32:06.794Z,1653.8944036127884
4,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.26,40457686977,5,56775829022.0,5261050655,1.3,1.21,0.02468269,1.9953600000000002,843540637.0,2.12939,32066390668.4135,45000000000.0,45000000000.0,2.45,-48.81758,2021-05-16T07:44:28.033Z,0.01925275,6401.17847,2020-03-13T02:22:55.044Z,2021-06-24T03:31:57.382Z,1424.4200846173414
5,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.22872099999999998,29689104711,6,,5867219750,0.245714,0.20804599999999998,0.01751071,8.29067,2252938404.0,8.21156,130149856192.203,,,0.731578,-68.76774,2021-05-08T05:08:23.458Z,8.69e-05,262821.13466,2015-05-06T00:00:00.000Z,2021-06-24T03:32:08.429Z,9141.685155758263
6,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.628993,28997818025,7,,3636634276,0.664608,0.603815,0.02473413,4.0933,1019689526.0,3.6446,46244517593.0,100000000000.0,,3.4,-81.59383,2018-01-07T00:00:00.000Z,0.00268621,23186.53878,2014-05-22T00:00:00.000Z,2021-06-24T03:32:03.532Z,234.0512405062629
7,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,25454563123,8,,2530699812,1.01,0.990459,0.00228205,0.22788000000000003,269577155.0,1.07039,25435840136.8797,25443147402.2497,,1.17,-14.66437,2019-05-08T00:40:28.300Z,0.891848,12.20927,2021-05-19T13:14:05.611Z,2021-06-24T03:32:24.585Z,0.29332461504588403
8,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,15.18,15161045162,9,,1043581600,16.83,14.72,-1.027770108233,-6.34271,-1137710670.623888,-6.98035,1004313176.69447,1085261458.99997,,49.35,-69.37697,2021-05-15T03:59:58.961Z,2.7,460.23744,2020-08-20T05:48:11.359Z,2021-06-24T03:31:58.720Z,
9,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,9697280922,10,,4768441177,1.01,0.990456,-0.000272000138,-0.02714,-145561179.9618702,-1.47885,9685846368.16,9685846368.16,,1.15,-13.32265,2020-03-13T02:35:42.953Z,0.901127,11.02022,2021-05-19T13:04:37.445Z,2021-06-24T03:32:10.445Z,0.09728331820867
10,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,16.9,8731977340,11,16796870718.0,300143237,18.55,16.69,-1.184340652526,-6.54911,-661513365.1709766,-7.04225,519857388.1320768,1000000000.0,1000000000.0,44.92,-62.57759,2021-05-03T05:25:04.822Z,1.03,1531.71181,2020-09-17T01:20:38.214Z,2021-06-24T03:32:25.643Z,
11,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,467.27,8663498606,12,,3480524279,486.22,455.7,-3.032249262659,-0.64475,-164331632.44457817,-1.86152,18771562.3967894,21000000.0,,3785.82,-87.84556,2017-12-20T00:00:00.000Z,76.93,498.09762,2018-12-16T00:00:00.000Z,2021-06-24T03:31:51.422Z,94.41296773986252
12,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,125.63,8369723226,13,,3039760497,133.92,123.26,-3.001268406626,-2.33325,-219273479.4290018,-2.55296,66752414.5153875,84000000.0,,410.26,-69.52874,2021-05-10T03:13:07.904Z,1.15,10781.50382,2015-01-14T00:00:00.000Z,2021-06-24T03:31:57.270Z,184.6250525558272
13,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,29.21,7894600879,14,14149003685.0,998361790,32.66,28.58,-0.649847202532,-2.17638,-243626387.20129776,-2.9936100000000003,272637122.50492,488630611.0,488630611.0,58.03,-50.05705,2021-05-18T16:59:08.690Z,0.5008009999999999,5687.48508,2020-05-11T19:35:23.449Z,2021-06-24T03:31:14.066Z,4032.9989685280752
14,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,17.73,7677200402,15,17689012448.0,1068731106,19.18,17.34,-0.651222858597,-3.54338,-260434885.10534763,-3.28101,434009553.9174637,1000000000.0,1000000000.0,52.7,-66.61673,2021-05-10T00:13:57.214Z,0.14818299999999998,11771.68803,2017-11-29T00:00:00.000Z,2021-06-24T03:32:05.236Z,269.6375594962813
15,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,1.16,7278576310,16,11565370849.0,1409100090,1.25,1.12,-0.012479757054,-1.06077,-137015954.15814686,-1.84767,6293422325.0,10000000000.0,10000000000.0,2.62,-55.864580000000004,2021-05-18T19:38:18.813Z,0.0031437600000000002,36688.3041,2019-05-10T00:00:00.000Z,2021-06-24T03:31:53.392Z,5042.954839633945
16,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,6.8100000000000005,6712231168,17,,422023724,7.53,6.55,-0.197688896479,-2.82119,-306887736.26492405,-4.37217,1000000000.0,1000000000.0,,15.72,-57.30056,2021-04-16T13:15:11.190Z,0.04039979,16514.51806,2020-03-13T02:24:16.483Z,2021-06-24T03:31:17.998Z,2556.693332985057
17,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,32788.0,6237462841,18,6237462841.0,436284540,34693.0,32498.0,-921.546870646402,-2.73381,-209685356.9819317,-3.25237,190924.79480179,190924.79480179,190924.79480179,64565.0,-49.40042,2021-04-14T12:00:05.340Z,3139.17,940.7115,2019-04-02T00:00:00.000Z,2021-06-24T03:32:01.448Z,240.82114129357802
18,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.248575,5767309135,19,,506055764,0.26941899999999996,0.24321399999999999,-0.009601958288,-3.7191400000000003,-227140523.96880436,-3.78918,23189089180.4501,50000000000.0,,0.875563,-71.72349,2018-01-03T00:00:00.000Z,0.00047612,51898.83483,2015-03-05T00:00:00.000Z,2021-06-24T03:31:56.696Z,250.2837089756294
