symbol,id
btc,bitcoin
eth,ethereum
usdt,tether
bnb,binancecoin
ada,cardano
xrp,ripple
doge,dogecoin
usdc,usd-coin
dot,polkadot
uni,uniswap
busd,binance-usd
bch,bitcoin-cash
sol,solana
ltc,litecoin
link,chainlink
wbtc,wrapped-bitcoin
matic,matic-network
etc,ethereum-classic
theta,theta-token
xlm,stellar
icp,internet-computer
dai,dai
vet,vechain
fil,filecoin
trx,tron
cusdc,compound-usd-coin
shib,shiba-inu
eos,eos
aave,aave
xmr,monero
atom,cosmos
luna,terra-luna
cro,crypto-com-chain
cdai,cdai
cake,pancakeswap-token
algo,algorand
leo,leo-token
cel,celsius-degree-token
amp,amp-token
okb,okb
ceth,compound-ether
ftt,ftx-token
bsv,bitcoin-cash-sv
mkr,maker
klay,klay-token
neo,neo
comp,compound-governance-token
xtz,tezos
miota,iota
AVAX,avalanche-2
grt,the-graph
ust,terrausd
ksm,kusama
tfuel,theta-fuel
snx,havven
dcr,decred
egld,elrond-erd-2
rune,thorchain
btt,bittorrent-2
safemoon,safemoon
ht,huobi-token
sushi,sushi
hbar,hedera-hashgraph
tusd,true-usd
waves,waves
chz,chiliz
steth,staked-ether
hbtc,huobi-btc
dash,dash
stx,blockstack
zec,zcash
enj,enjincoin
yfi,yearn-finance
xdc,xdce-crowd-sale
hnt,helium
xem,nem
tel,telcoin
hot,holotoken
qnt,quant-network
axs,axie-infinity
kcs,kucoin-shares
mana,decentraland
pax,paxos-standard
nexo,nexo
zil,zilliqa
titan,titanswap
one,harmony
mdx,mdex
flow,flow
near,near
bat,basic-attention-token
btg,bitcoin-gold
lusd,liquity-usd
bnt,bancor
zrx,0x
qtum,qtum
zen,zencash
omi,ecomi
sc,siacoin
cusdt,compound-usdt
crv,curve-dao-token
xsushi,xsushi
ont,ontology
dgb,digibyte
icx,icon
ftm,fantom
chsb,swissborg
nano,nano
husd,husd
omg,omisego
uma,uma
nxm,nxm
gt,gatechain-token
bcha,bitcoin-cash-abc-2
ankr,ankr
vgx,ethos
ar,arweave
iost,iostoken
rvn,ravencoin
wrx,wazirx
1inch,1inch
usdn,neutrino
bcd,bitcoin-diamond
lpt,livepeer
uos,ultra
hbc,hbtc-token
perp,perpetual-protocol
arrr,pirate-chain
renbtc,renbtc
celo,celo
fei,fei-protocol
sand,the-sandbox
lsk,lisk
xvg,verge
bake,bakerytoken
dag,constellation-labs
ton,ton-crystal
ren,republic-protocol
rsr,reserve-rights-token
glm,golem
maid,maidsafecoin
kava,kava
woo,wootrade-network
xch,chia
ckb,nervos-network
lrc,loopring
skl,skale
gusd,gemini-dollar
mir,mirror-protocol
paxg,pax-gold
asd,asd
pundix,pundi-x-2
oxy,oxygen
win,wink
cuni,compound-uniswap
susd,nusd
osmo,osmosis
gno,gnosis
SNT,status
klv,klever
tribe,tribe-2
erg,ergo
bal,balancer
npxs,pundi-x
seth,seth
xprt,persistence
ohm,olympus
band,band-protocol
frax,frax
vtho,vethor-token
alpha,alpha-finance
ubt,unibright
alusd,alchemix-usd
feg,feg-token
mina,mina-protocol
dent,dent
ogn,origin-protocol
rlc,iexec-rlc
akt,akash-network
ewt,energy-web-token
cfx,conflux-token
waxp,wax
prom,prometeus
iq,everipedia
inj,injective-protocol
xvs,venus
fet,fetch-ai
audio,audius
ton,tokamak-network
oxt,orchid-protocol
agix,singularitynet
reef,reef-finance
ocean,ocean-protocol
uqc,uquid-coin
tomo,tomochain
nmr,numeraire
ray,raydium
anc,anchor-protocol
stmx,storm
iotx,iotex
meta,metadium
zks,zkswap
forth,ampleforth-governance-token
nmx,nominex
alcx,alchemix
sxp,swipe
lend,ethlend
cvc,civic
celr,celer-network
evn,evolution-finance
fun,funfair
ardr,ardor
orbs,orbs
ctsi,cartesi
rpl,rocket-pool
kiro,kirobo
strax,stratis
srm,serum
poly,polymath-network
seur,seur
knc,kyber-network-crystal
ampl,ampleforth
xaut,tether-gold
orn,orion-protocol
led,ledgis
steem,steem
ark,ark
sapp,sapphire
pha,pha
mln,melon
nkn,nkn
math,math
kncl,kyber-network
exrd,e-radix
storj,storj
med,medibloc
kobe,shabu-shabu
dodo,dodo
dpi,defipulse-index
steth,stakehound-staked-ether
hxro,hxro
btcst,btc-standard-hashrate-token
nu,nucypher
slp,smooth-love-potion
ant,aragon
wnxm,wrapped-nxm
tlm,alien-worlds
loc,lockchain
inst,instadapp
keep,keep-network
