id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_30d_in_currency
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,33944.0,636645844263,1,712953304326.0,23805813083.0,34276.0,32673.0,872.7,2.6388100000000003,15623669123.0,2.5158,18752368.0,21000000.0,21000000.0,64805.0,-47.71452,2021-04-14T11:54:46.763Z,67.81,49868.97149,2013-07-06T00:00:00.000Z,,2021-07-10T04:39:59.985Z,267.5349078009656,48.61211733143704,-9.610684881009982
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2143.05,249972081395,2,,21127894251.0,2191.93,2072.42,-0.295334249635,-0.01378,-392931352.27856445,-0.15694000000000002,116631404.0615,,,4356.99,-50.89041,2021-05-12T14:41:48.623Z,0.432979,494081.18129,2015-10-20T00:00:00.000Z,"{'times': 83.46793676220828, 'currency': 'btc', 'percentage': 8346.793676220828}",2021-07-10T04:40:06.323Z,785.6473238636468,251.07329012849732,-18.223861394984596
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,62503393988,3,,48629233954.0,1.01,0.9986600000000001,-0.0010706909029999999,-0.10676000000000001,-66698962.436561584,-0.1066,62388923663.0093,62388923663.0093,,1.32,-24.28098,2018-07-24T00:00:00.000Z,0.572521,74.98656,2015-03-02T00:00:00.000Z,,2021-07-10T04:05:27.042Z,0.200448628059252,-0.019461286085418,0.008554528518545
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,316.1,48859490774,4,53918271452.0,1074614553.0,321.67,306.44,5.2,1.67271,669899998.0,1.39013,154533651.9,170533651.9,170533651.9,686.31,-54.00529,2021-05-10T07:24:17.097Z,0.0398177,792674.90852,2017-10-19T00:00:00.000Z,,2021-07-10T04:40:03.112Z,1779.355857110039,878.5478037847424,-15.972280806438487
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.35,43185303751,5,60603598606.0,1275820727.0,1.37,1.32,0.01328972,0.99548,376303844.0,0.8790300000000001,32066390668.4135,45000000000.0,45000000000.0,2.45,-45.06458,2021-05-16T07:44:28.033Z,0.01925275,6877.88442,2020-03-13T02:22:55.044Z,,2021-07-10T04:39:38.772Z,987.845495910175,777.275285823336,-16.869960272321617
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.635824,29365389671,6,63600249130.0,2106173316.0,0.649343,0.608089,0.013602030000000001,2.18604,529015263.0,1.83454,46171815477.0,100000000000.0,100000000000.0,3.4,-81.38984,2018-01-07T00:00:00.000Z,0.00268621,23444.60973,2014-05-22T00:00:00.000Z,,2021-07-10T04:39:56.613Z,214.1910391597494,22.94148670365518,-30.222362143392083
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.218803,28497595304,7,,2972085891.0,0.22716299999999998,0.2024,0.01089958,5.24262,1588337660.0,5.90257,130369408344.49,,,0.731578,-70.20367,2021-05-08T05:08:23.458Z,8.69e-05,250733.12178,2015-05-06T00:00:00.000Z,,2021-07-10T04:40:06.048Z,4901.67070240149,4456.632347640278,-36.487249521870496
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,26168376868,8,,2370251735.0,1.01,0.998034,0.00123266,0.12308000000000001,132022364.0,0.50707,26063213399.2696,26076764867.0796,,1.17,-14.49655,2019-05-08T00:40:28.300Z,0.891848,12.42995,2021-05-19T13:14:05.611Z,,2021-07-10T04:39:51.035Z,0.19034301566348402,0.5837712197053311,0.107258404672043
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,15.5,15651316660,9,,500930572.0,15.98,15.17,0.061632,0.3992,-2769755.3155326843,-0.01769,1009062419.22816,1090008723.68179,,49.35,-68.59129,2021-05-15T03:59:58.961Z,2.7,474.61108,2020-08-20T05:48:11.359Z,,2021-07-10T04:40:09.097Z,,216.81229075563988,-33.1774837933544
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,20.8,10810145905,10,20794445076.0,283895185.0,21.57,20.26,-0.09594262625,-0.45922,-59473561.58139038,-0.54715,519857388.1320768,1000000000.0,1000000000.0,44.92,-53.75183,2021-05-03T05:25:04.822Z,1.03,1916.53756,2020-09-17T01:20:38.214Z,,2021-07-10T04:39:57.578Z,,489.43191650111413,-17.38239927097334
