,index,id,symbol,name,image,index,symbol,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_30d_in_currency
0,0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,0,btc,33659.0,631376228513,1,707292264951.0,29186786727.0,35103.0,32841.0,-1344.59284365401,-3.84127,-22396824510.52,-3.42578,18746000.0,21000000.0,21000000.0,64805.0,-48.02758,2021-04-14T11:54:46.763Z,67.81,49569.78431,2013-07-06T00:00:00.000Z,2021-07-02T01:24:35.167Z,264.645493980827,75.7558189990603,-8.23563094734939
1,1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1,eth,2124.89,247647170514,2,,25481293658.0,2270.94,2081.76,-140.138358921703,-6.18705,-15167637757.4748,-5.77123,116522274.624,,,4356.99,-51.18638,2021-05-12T14:41:48.623Z,0.432979,491102.96561,2015-10-20T00:00:00.000Z,2021-07-02T01:24:31.648Z,821.213529668671,259.952745826705,-19.287269282984
2,2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,2,usdt,1.0,62722847723,3,,59581928010.0,1.01,0.985321,0.00059789,0.05966,33044729.0,0.05271,62555876181.1193,62555876181.1193,,1.32,-24.21792,2018-07-24T00:00:00.000Z,0.572521,75.13229,2015-03-02T00:00:00.000Z,2021-07-02T01:05:25.435Z,0.232498827850596,0.351417999371349,0.033122219096547
3,3,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,3,bnb,289.15,44686999253,4,49313771346.0,1208956912.0,303.83,282.09,-14.540146169718,-4.78788,-2115359064.75285,-4.51977,154533651.9,170533651.9,170533651.9,686.31,-57.852,2021-05-10T07:24:17.097Z,0.0398177,726372.15648,2017-10-19T00:00:00.000Z,2021-07-02T01:24:37.223Z,1727.71734650684,895.324720370386,-20.0514715823128
4,4,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,4,ada,1.34,43030432831,5,60386262283.0,3075731345.0,1.38,1.3,-0.037419669317,-2.7131,-1013213764.64918,-2.30048,32066390668.4135,45000000000.0,45000000000.0,2.45,-44.91898,2021-05-16T07:44:28.033Z,0.01925275,6896.37798,2020-03-13T02:22:55.044Z,2021-07-02T01:24:21.183Z,1296.27530444616,772.142670127253,-22.8112221370378
5,5,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,5,doge,0.245891,32076261608,6,,3228061445.0,0.256074,0.240041,-0.005747434592,-2.284,-416424378.877266,-1.28159,130264844173.612,,,0.731578,-66.34142,2021-05-08T05:08:23.458Z,8.69e-05,283246.57607,2015-05-06T00:00:00.000Z,2021-07-02T01:24:42.270Z,10326.7961002034,7434.74420879497,-34.1192821654165
6,6,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,6,xrp,0.66316,30716677286,7,66562778613.0,2615408810.0,0.699695,0.648058,-0.034654768425,-4.96619,-1491820553.99944,-4.63176,46146927647.0,100000000000.0,100000000000.0,3.4,-80.49515,2018-01-07T00:00:00.000Z,0.00268621,24576.53547,2014-05-22T00:00:00.000Z,2021-07-02T01:24:33.233Z,275.217917887378,29.8489617933789,-34.4272813151997
7,7,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,7,usdc,1.0,25233801783,8,,2035949909.0,1.01,0.991169,-0.002354890297,-0.23453,-34465523.5862122,-0.1364,25191372287.0197,25213489384.9197,,1.17,-14.57621,2019-05-08T00:40:28.300Z,0.891848,12.32521,2021-05-19T13:14:05.611Z,2021-07-02T01:24:22.414Z,0.169624266839187,0.107052750240011,0.103362165462403
8,8,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,8,dot,15.35,15457245906,9,,574930191.0,16.34,14.93,-0.922800331304,-5.66991,-893018932.286655,-5.4618,1006699531.83481,1087646045.01094,,49.35,-68.88161,2021-05-15T03:59:58.961Z,2.7,469.29985,2020-08-20T05:48:11.359Z,2021-07-02T01:24:20.164Z,,214.015726331054,-32.9655100563383
9,9,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,9,busd,1.0,10308750680,10,,3668169353.0,1.01,0.986554,-0.005543953669,-0.55111,193721309.0,1.91518,10304559804.05,10304559804.05,,1.15,-13.30289,2020-03-13T02:35:42.953Z,0.901127,11.04553,2021-05-19T13:04:37.445Z,2021-07-02T01:24:34.475Z,-0.035267260057954,0.02971939881115,-0.354963297396483
