name,symbol,id,percentageChangeMtdUsd,percentageChangeYtdUsd,athTimestamp,percentageDownFromAth,breakevenMultiple,cycleLowTimestamp,percentageUpFromCycleLow,volatility30d,volatility90d,circulatingSupply,priceUsd,currentMarketcap
Bitcoin,BTC,1e31218a-e44e-4285-820c-8282ee222035,-5.287502153,8.000179718,1618380000.0,50.86858045,2.035357433,1624366800.0,8.602812954,0.729111051,0.937164727,18769156.42,31685.84796,594000000000.0
Ethereum,ETH,21c795f5-1bfd-40c3-858e-e9d7e820c6d0,-7.393946898,167.0830324,1620788400.0,54.9909312,2.221774471,1624366800.0,12.9206067,0.993512765,1.373436413,115863897.6,1946.103537,225000000000.0
Tether,USDT,51f8ea5e-f426-4f40-939a-db7e05495374,0.019689102,-0.073973405,1503090000.0,63.12098811,2.711569396,1542297600.0,4.691041543,0.019839378,0.05224663,64294361273.0,1.00074806,64328506772.0
BNB,BNB,7dc551ba-cfed-4437-a027-386044415e3e,-0.38836068,656.6633725,1620626400.0,58.16598177,2.390399111,1621785600.0,27.70463691,1.075168991,1.520352816,168137036.0,286.4001312,48158118748.0
Cardano,ADA,362f0140-ecdd-4205-b8a0-36f0fd5d8167,-13.26059838,558.4348728,1621152000.0,52.37319841,2.099658106,1624366800.0,13.96689217,0.969662906,1.491603994,31149725059.0,1.155716602,35999926197.0
USD Coin,USDC,4515ba15-2719-4183-b0ca-b9255d55b67e,0.01462536,0.213517735,1584273600.0,11.15487208,1.125554123,1604973600.0,5.449163757,0.014203197,0.029422376,26767537545.0,1.000582155,26781677130.0
Dogecoin,DOGE,7d793fa7-5fc6-432a-b26b-d1b10769d42e,-22.8317882,3207.612238,1620446400.0,74.36589737,3.901053274,1626771600.0,17.34407472,1.78401859,2.069965015,130000000000.0,0.19033191,24799985353.0
XRP,XRP,97775be0-2608-4720-b7af-f85b24c7eb2d,-14.16634455,137.8637625,1515067200.0,82.87306172,5.838755204,1584061200.0,366.4532302,1.246029971,1.672711259,39269894999.0,0.565982913,22238422909.0
Binance USD,BUSD,5da7bde4-61e9-4a6f-9fc3-7ed66effb198,-0.020486719,0.003031401,1584064800.0,3.402473313,1.035223193,1617814800.0,2.006514661,0.011609282,0.031038933,11209707767.0,1.000356446,11211558056.0
Uniswap,UNI,1d51479d-68f6-4886-8644-2a55ea9007bf,-8.714302254,242.2245531,1620018000.0,63.61996058,2.748760078,1626825600.0,14.65466636,1.328596297,1.788750799,587325025.6,16.23331849,9519272204.0
Bitcoin Cash,BCH,c8c7e9a1-844d-4cfd-9dbc-ce85a8a9613f,-14.80428862,23.50670969,1513785600.0,89.46786297,9.494749236,1544886000.0,468.1051522,0.906284065,1.934328563,19417529.91,423.8693878,8231085524.0
Litecoin,LTC,c7c3697d-1b9c-42bf-9664-a366634ce2b3,-15.35948427,-8.18756795,1620612000.0,71.71688943,3.535678997,1626771600.0,11.08128972,0.941655282,1.514164694,68133595.59,116.6032768,7945536133.0
Solana,SOL,b3d5d66c-26a2-404c-9325-91dc714a722b,-23.05581795,1286.834071,1621353600.0,55.95718106,2.270517701,1624366800.0,22.01329976,1.369867095,1.907213011,272637427.6,25.57994781,6954625337.0
Chainlink,LINK,a9c04b71-33e4-4fed-8126-cf1612c7e198,-16.81300532,27.51406261,1620601200.0,71.07436847,3.457141459,1626771600.0,12.09443451,1.140099715,1.803556164,440009553.9,15.06908891,6624946360.0
Wrapped Bitcoin,WBTC,81bbf507-29d5-4458-8d42-b81d7c197996,-5.377129865,7.923785657,1618398000.0,50.99732405,2.040704881,1624366800.0,8.398187327,0.727186825,0.935059588,195074.9746,31669.18878,6174443624.0
Polygon,MATIC,4b474270-99ba-4a18-869d-11cd3fc0201a,-21.15280857,4640.908539,1621368000.0,66.88899582,3.020143981,1626771600.0,35.69150279,1.129598442,2.719342649,6357687669.0,0.844600192,5366817068.0
Dai,DAI,a3b64831-4288-48bd-a3e7-eb4f77f6f740,0.012730107,0.044016852,1564707600.0,26.85384345,1.36712583,1611601200.0,28.54516351,0.017884078,0.018791909,5354013385.0,1.000637767,5356904804.0
Ethereum Classic,ETC,6e196ee3-c5f9-4872-8140-3e8d63b24462,-21.32868016,635.8917037,1620324000.0,73.36693022,3.754730522,1624366800.0,26.10035132,1.605091196,2.275856048,123817660.8,41.76493875,5168350130.0
DigiCube,CUBE,ddd8dc16-2b85-456c-8aee-f15e5c665b39,2.385358832,397.149297,1519538400.0,86.41732895,7.362322153,1587934800.0,2624.559248,0.755943334,0.792942305,2429126009.0,2.0027,4864810659.0
Internet Computer,ICP,f2cfff3b-a8ae-434f-b9e3-1c81a0ba2f81,-29.20799665,-93.27005263,1620702000.0,93.81185734,16.15993772,1626771600.0,18.5537268,2.115293898,2.512483503,136899213.6,32.16830166,4390946285.0
Theta Network,THETA,ddb361c5-0827-4324-a9ba-ee4fdbf475d9,-32.88971278,114.3418741,1618574400.0,71.78816576,3.544611781,1626771600.0,20.13608761,1.170361536,1.682049865,1000000000.0,4.229116441,4225635771.0
Stellar,XLM,7c435a77-5be9-4424-b5d1-1c02b968c56f,-17.04009058,68.45625127,1515027600.0,75.89044183,4.147732584,1584061200.0,669.0710976,1.086850983,1.456975945,18394063935.0,0.224986754,4136278385.0
VeChain,VET,ce222383-2753-44d4-b9ef-2dd67a7ea730,-24.08896137,235.0584079,1618790400.0,76.13573325,4.190365497,1626771600.0,13.40440095,1.299582302,1.837676268,64315576989.0,0.06422222,4132549056.0
Filecoin,FIL,75526795-8e92-4513-907a-81cc1c77a278,-19.38471598,105.1813832,1617292800.0,80.39307761,5.100239497,1626825600.0,13.20648764,1.448907725,1.661631981,89798703.0,45.89434073,4122555688.0
Autonio,NIO,d91bcd9a-acee-45b8-bae2-16a06e5a42c7,-12.85245902,5.359631,1625166000.0,12.85245902,1.147479308,1626350400.0,1.849153112,0.581693683,0.567022371,89886209.74,43.857,3942139501.0
TRON,TRX,1c077d6e-99c7-491c-b24d-1d359011cd81,-17.84844086,97.82847849,1515114000.0,80.75507968,5.196176358,1584061200.0,594.2414688,1.152514152,1.488123601,69180974756.0,0.052997945,3666122581.0
Monero,XMR,cd738ecc-ef84-47b5-be73-d064eff3e36e,-5.668344123,42.50037537,1620399600.0,62.54027774,2.669533941,1626768000.0,7.851771162,1.11399018,1.670842065,17956684.36,194.0555784,3484457907.0
EOS,EOS,2e9a4c5d-7966-47c4-aebd-cdbc1ecf9d2e,-11.83062813,30.94347013,1524985200.0,84.6236856,6.503509059,1544205600.0,123.0095979,1.297241872,2.317582132,950899890.9,3.465854859,3294886696.0
Aave,AAVE,0472643b-1c7a-47a2-a45e-ec1e3e1269cd,8.995348493,176.3284213,1621332000.0,61.85817864,2.621794042,1624366800.0,43.36458304,1.392740875,1.820343613,12842198.59,249.7685366,3200958869.0
Unus Sed Leo,LEO,28681c70-d3a1-4139-942e-c4bdcc49ad64,21.67842204,109.7257705,1620993600.0,25.27988338,1.338327676,1622145600.0,42.94060828,0.940225637,1.17385528,953954130.0,2.930023294,2795368832.0
Crypto.com Chain,CRO,de533c50-6a57-4975-bb83-62862fb9af09,-3.893017273,80.86336389,1623729600.0,76.91818487,4.332414909,1624366800.0,32.04641926,1.065950454,2.174348421,25263013692.0,0.107629942,2716967744.0
